Price,DXY,Returns,MA_50,MA_200
Ticker,DX-Y.NYB,,,
Date,,,,
2013-03-20,82.77999877929688,-0.002530414385808033,80.86059967041015,81.02350009918213
2013-03-21,82.80000305175781,0.000241655868034929,80.9095997619629,81.02305011749267
2013-03-22,82.52999877929688,-0.0032609210447994696,80.94899978637696,81.02295009613037
2013-03-25,82.87000274658203,0.0041197621751383195,81.0115998840332,81.0233000946045
2013-03-26,82.87999725341797,0.00012060463985386072,81.07799987792968,81.02610008239746
2013-03-27,83.20999908447266,0.003981682456451585,81.15239990234375,81.03190006256104
2013-03-28,82.98999786376953,-0.0026439276904663966,81.2165998840332,81.03430004119873
2013-04-01,82.7300033569336,-0.0031328414691940143,81.27519989013672,81.03540004730225
2013-04-02,82.94000244140625,0.002538366686226645,81.34099990844726,81.03805004119873
2013-04-03,82.72000122070312,-0.0026525345337257145,81.39439987182617,81.04140003204346
2013-04-04,82.68000030517578,-0.0004835700548482258,81.45059982299804,81.04530002593994
2013-04-05,82.5,-0.0021770718978155745,81.50219985961914,81.04985004425049
2013-04-08,82.75,0.003030303030302939,81.5581999206543,81.05390003204346
2013-04-09,82.30999755859375,-0.005317250047205402,81.60939987182617,81.05860000610352
2013-04-10,82.52999877929688,0.0026728371671560502,81.66439987182618,81.06380001068115
2013-04-11,82.25,-0.0033926909419403906,81.7181999206543,81.06345001220703
2013-04-12,82.30999755859375,0.0007294535999240459,81.77879989624023,81.06389999389648
2013-04-15,82.41999816894531,0.0013364185835780251,81.84299987792969,81.06369998931885
2013-04-16,81.75,-0.00812907284433495,81.89539993286132,81.06059997558594
2013-04-17,82.66000366210938,0.011131543267393074,81.95759994506835,81.06110000610352
2013-04-18,82.55000305175781,-0.0013307598049622227,82.01880004882813,81.06050003051757
2013-04-19,82.70999908447266,0.0019381711302242088,82.07860000610351,81.06580001831054
2013-04-22,82.68000030517578,-0.00036269833912383476,82.12839996337891,81.06985000610352
2013-04-23,83.02999877929688,0.0042331697245916455,82.18399993896485,81.07610000610352
2013-04-24,82.93000030517578,-0.001204365597871404,82.23639999389648,81.07670001983642
2013-04-25,82.73999786376953,-0.0022911183010617675,82.28899993896485,81.07395000457764
2013-04-26,82.4800033569336,-0.0031423073912090205,82.3368000793457,81.07055000305176
2013-04-29,82.1500015258789,-0.004000991969248635,82.37060012817383,81.06450000762939
2013-04-30,81.7300033569336,-0.005112576520318157,82.39360015869141,81.05530002593994
2013-05-01,81.63999938964844,-0.0011012353308256229,82.4170001220703,81.04525001525879
2013-05-02,82.20999908447266,0.006981867945683673,82.43940017700196,81.03979999542236
2013-05-03,82.0999984741211,-0.001338044174389763,82.45220016479492,81.03485000610351
2013-05-06,82.31999969482422,0.002679673870791488,82.46900009155273,81.03130001068115
2013-05-07,82.30000305175781,-0.00024291354641081675,82.48160018920899,81.02805004119872
2013-05-08,81.9000015258789,-0.004860285674927023,82.48220016479492,81.02305004119873
2013-05-09,82.79000091552734,0.010866903212049639,82.50600021362305,81.01965003967285
2013-05-10,83.13999938964844,0.004227545237959429,82.52920013427735,81.01680004119874
